Release,Total Gross,Release Date,Distributor,Release Month
Inside Out 2,652980194.0,2024-06-14,Walt Disney Studios Motion Pictures,June
Deadpool & Wolverine,636745858.0,2024-07-26,Walt Disney Studios Motion Pictures,July
Wicked,473231120.0,2024-11-22,Universal Pictures,November
Moana 2,460405297.0,2024-11-27,Walt Disney Studios Motion Pictures,November
Despicable Me 4,361004205.0,2024-07-03,Universal Pictures,July
Beetlejuice Beetlejuice,294100435.0,2024-09-06,Warner Bros.,September
Dune: Part Two,282144358.0,2024-03-01,Warner Bros.,March
Twisters,267762265.0,2024-07-19,Universal Pictures,July
Godzilla x Kong: The New Empire,196350016.0,2024-03-29,Warner Bros.,March
Kung Fu Panda 4,193590620.0,2024-03-08,Universal Pictures,March
Bad Boys: Ride or Die,193573217.0,2024-06-07,Sony Pictures Releasing,June
Kingdom of the Planet of the Apes,171130165.0,2024-05-10,20th Century Studios,May
Gladiator II,172438016.0,2024-11-22,Paramount Pictures,November
Sonic the Hedgehog 3,236115100.0,2024-12-20,Paramount Pictures,December
It Ends with Us,148518266.0,2024-08-09,Sony Pictures Releasing,August
The Wild Robot,143901945.0,2024-09-27,Universal Pictures,September
Venom: The Last Dance,139755882.0,2024-10-25,Sony Pictures Releasing,October
A Quiet Place: Day One,139051884.0,2024-06-28,Paramount Pictures,June
Mufasa: The Lion King,254567693.0,2024-12-20,Walt Disney Studios Motion Pictures,December
Ghostbusters: Frozen Empire,113376590.0,2024-03-22,Sony Pictures Releasing,March
IF,111375918.0,2024-05-17,Paramount Pictures,May
Alien: Romulus,105313091.0,2024-08-16,20th Century Studios,August
Bob Marley: One Love,96981216.0,2024-02-14,Paramount Pictures,February
Red One,97000759.0,2024-11-15,Amazon MGM Studios,November
The Fall Guy,92900355.0,2024-05-03,Universal Pictures,May
The Garfield Movie,91956547.0,2024-05-24,Sony Pictures Releasing,May
Wonka,218402312.0,2024-12-15,Warner Bros.,December
Longlegs,74346140.0,2024-07-12,Neon,July
Migration,127630880.0,2024-12-22,Universal Pictures,December
Mean Girls,72581770.0,2024-01-12,Paramount Pictures,January
Smile 2,69012586.0,2024-10-18,Paramount Pictures,October
Civil War,68756072.0,2024-04-12,A24,April
Furiosa: A Mad Max Saga,67475791.0,2024-05-24,Warner Bros.,May
The Beekeeper,66220535.0,2024-01-12,Metro-Goldwyn-Mayer (MGM),January
Anyone But You,88319668.0,2024-12-22,Columbia Pictures,December
Transformers One,59098421.0,2024-09-20,Paramount Pictures,September
Joker: Folie à Deux,58300287.0,2024-10-04,Warner Bros.,October
Terrifier 3,53981071.0,2024-10-11,Cineverse,October
Challengers,50119408.0,2024-04-26,Amazon MGM Studios,April
Nosferatu,95608235.0,2024-12-25,Focus Features,December
Aquaman and the Lost Kingdom,124481226.0,2024-12-22,Warner Bros.,December
Argylle,45207275.0,2024-02-02,Universal Pictures,February
Madame Web,43817106.0,2024-02-14,Columbia Pictures,February
Trap,42777281.0,2024-08-02,Warner Bros.,August
The Best Christmas Pageant Ever,40048808.0,2024-11-08,Lionsgate,November
Speak No Evil,36931420.0,2024-09-13,Universal Pictures,September
The Strangers: Chapter 1,35202562.0,2024-05-17,Lionsgate,May
Coraline15th Anniversary,33626425.0,2024-08-15,Fathom Events,August
Night Swim,32494740.0,2024-01-05,Universal Pictures,January
Conclave,32580655.0,2024-10-25,Focus Features,October
The Boys in the Boat,52641306.0,2024-12-25,Amazon MGM Studios,December
Reagan,30047417.0,2024-08-30,Showbiz Direct,August
The Forge,29123632.0,2024-08-23,Affirm Films,August
Horizon: An American Saga - Chapter 1,29035702.0,2024-06-28,Warner Bros.,June
A Complete Unknown,75001720.0,2024-12-25,Searchlight Pictures,December
Imaginary,28009161.0,2024-03-08,Lionsgate,March
Heretic,27986380.0,2024-11-08,A24,November
Abigail,25867515.0,2024-04-19,Universal Pictures,April
Monkey Man,25116955.0,2024-04-05,Universal Pictures,April
Arthur the King,25049006.0,2024-03-15,Lionsgate,March
We Live in Time,24692924.0,2024-10-11,A24,October
Poor Things,34553225.0,2024-12-08,Searchlight Pictures,December
