Area,Weekend Date,Distributor,Weekend Gross
China,Nov 7-9,Walt Disney Studios Motion Pictures,7400000.0
United Kingdom,Nov 7-9,Sony Pictures Releasing,1200000.0
Japan,Nov 1-2,Toho,2861434.0
France,Oct 29-Nov 2,Haut et Court,2339399.0
Italy,Oct 30-Nov 2,Medusa Distribuzione,2071186.0
Germany,Oct 30-Nov 2,Constantin Film,2057346.0
South Korea,Oct 31-Nov 2,,1547683.0
Mexico,Oct 31-Nov 2,Universal Pictures International (UPI),1288768.0
Spain,Oct 31-Nov 2,Universal Pictures International (UPI),621724.0
Türkiye,Oct 31-Nov 2,CGV Mars Dagitim,583223.0
Brazil,Oct 30-Nov 2,Universal Pictures International (UPI),548115.0
Hong Kong,Oct 30-Nov 2,Edko Films,524562.0
Australia,Oct 30-Nov 2,Madman Entertainment,410118.0
Vietnam,Oct 31-Nov 2,CGV,325559.0
Finland,Oct 31-Nov 2,Sony Pictures Releasing,280000.0
Netherlands,Oct 30-Nov 2,Universal Pictures International (UPI),270601.0
Colombia,Oct 30-Nov 2,Universal Pictures International (UPI),229479.0
Norway,Oct 31-Nov 2,Ymer Media,223116.0
Romania,Oct 31-Nov 2,Vertical Entertainment,204068.0
Belgium,Oct 29-Nov 2,Universal Pictures International (UPI),198845.0
Argentina,Oct 30-Nov 2,Universal Pictures International (UPI),170559.0
Sweden,Oct 31-Nov 2,Walt Disney Pictures,165191.0
Peru,Oct 30-Nov 2,Universal Pictures International (UPI),164361.0
Central America,Oct 30-Nov 2,Universal Pictures International (UPI),155469.0
New Zealand,Oct 30-Nov 2,Madman Entertainment,144981.0
Poland,Oct 31-Nov 2,Universal Pictures International (UPI),141748.0
Saudi Arabia,Oct 30-Nov 2,Focus Features,133653.0
Chile,Oct 30-Nov 2,Universal Pictures International (UPI),125880.0
United Arab Emirates,Oct 30-Nov 2,Universal Pictures International (UPI),124216.0
Austria,Oct 30-Nov 2,Universal Pictures International (UPI),116365.0
Slovakia,Oct 30-Nov 2,Universal Pictures International (UPI),113503.0
Czech Republic,Oct 30-Nov 2,AQS,103140.0
Switzerland,Oct 29-Nov 2,Walt Disney Pictures,101572.0
South Africa/Nigeria,Oct 31-Nov 2,Universal Pictures International (UPI),93663.0
Middle East Other,Oct 30-Nov 2,Universal Pictures International (UPI),93458.0
Malaysia,Oct 30-Nov 2,Walt Disney Pictures,91205.0
Israel,Oct 30-Nov 2,Universal Pictures International (UPI),79294.0
Lithuania,Oct 31-Nov 2,Dublis Production,74693.0
Ecuador,Oct 31-Nov 2,Universal Pictures International (UPI),74664.0
Portugal,Oct 30-Nov 2,Universal Pictures International (UPI),70743.0
Russia/CIS,Oct 30-Nov 2,Universal Pictures International (UPI),68171.0
Greece,Oct 30-Nov 2,Universal Pictures International (UPI),64254.0
Hungary,Oct 30-Nov 2,Paramount Pictures International,63990.0
Denmark,Oct 30-Nov 2,Walt Disney Pictures,62913.0
Croatia,Oct 30-Nov 2,Sony Pictures Releasing,56373.0
Ukraine,Oct 30-Nov 2,Universal Pictures International (UPI),55264.0
Singapore,Oct 30-Nov 2,Walt Disney Pictures,54524.0
India,Oct 31-Nov 2,Universal Pictures International (UPI),44825.0
Indonesia,Oct 29-Nov 2,Walt Disney Pictures,44440.0
Bulgaria,Oct 31-Nov 2,,38775.0
Taiwan,Oct 31-Nov 2,Walt Disney Pictures,36236.0
Slovenia,Oct 30-Nov 2,Universal Pictures International (UPI),35987.0
Philippines,Oct 29-Nov 2,Walt Disney Pictures,34625.0
Bolivia,Oct 30-Nov 2,Universal Pictures International (UPI),29000.0
Kuwait,Oct 30-Nov 2,Italia Film,28468.0
Venezuela,Oct 31-Nov 2,Universal Pictures International (UPI),28465.0
Serbia and Montenegro,Oct 30-Nov 2,Taramount Film,21852.0
Qatar,Oct 30-Nov 2,Italia Film,16833.0
Trinidad & Tobago,Oct 29-Nov 2,Universal Pictures International (UPI),16237.0
Estonia,Oct 31-Nov 2,Universal Pictures International (UPI),14100.0
Thailand,Oct 30-Nov 2,Walt Disney Pictures,14030.0
Iceland,Oct 31-Nov 2,Myndform,13776.0
Latvia,Oct 31-Nov 2,Universal Pictures International (UPI),13402.0
South Africa,Oct 31-Nov 2,Universal Pictures International (UPI),12657.0
Uruguay,Oct 30-Nov 2,Universal Pictures International (UPI),12329.0
Lebanon,Oct 30-Nov 2,Universal Pictures International (UPI),11154.0
Egypt,Oct 29-Nov 2,Universal Pictures International (UPI),10886.0
Mongolia,Oct 31-Nov 2,Universal Pictures International (UPI),7931.0
Paraguay,Oct 31-Nov 2,Universal Pictures International (UPI),7721.0
Bahrain,Oct 30-Nov 2,Italia Film,5037.0
Guatemala,Oct 30-Nov 2,Angel,4675.0
Albania,Nov 1-2,Universal Pictures International (UPI),4428.0
Pakistan,Oct 29-Nov 2,Universal Pictures International (UPI),3608.0
Cyprus,Oct 31-Nov 2,Universal Pictures International (UPI),2610.0
North Macedonia,Oct 31-Nov 2,Universal Pictures International (UPI),2556.0
Jordan,Oct 30-Nov 2,Italia Film,2422.0
Nigeria,Oct 29-Nov 2,Universal Pictures International (UPI),2179.0
El Salvador,Oct 30-Nov 2,Angel,1248.0
Kenya,Oct 29-Nov 2,Universal Pictures International (UPI),1121.0
Oman,Oct 30-Nov 2,Italia Film,628.0
Bosnia and Herzegovina,Oct 30-Nov 2,,
Iraq,Oct 24-26,Italia Film,1665.0
